Operation_ID,Operation_Name,Year,Force,Location,State_Country,Threat_Type,Terrain,Weather,Severity,Status,Casualties,Personnel_Deployed,Duration_Days,Real_Operation_Base
1,Operation Sindoor,2025,Indian Armed Forces,Pakistan & Pakistan-occupied Kashmir,India/Pakistan,Counter-Terrorism,Airspace,Clear,High,Completed,Classified,500.0,1.0,Yes
2,Operation Vijay,1999,Indian Army,Kargil,Ladakh,Border Intrusion,Mountain,Fog,Critical,Success,Unknown,48204.0,110.0,Yes
3,Operation Meghdoot,1984,Indian Army,Siachen Glacier,Ladakh,Border Security,Mountain,Fog,High,Ongoing,48,1004.0,2.0,Yes
4,Operation Cactus,1988,Indian Armed Forces,Maldives,Maldives,Military Intervention,Island,Rain,High,Success,0,5648.0,102.0,Yes
5,Operation Trident,1971,Indian Navy,Karachi,Pakistan,Naval Strike,Sea,Clear,Critical,Success,0,29658.0,160.0,Yes
6,Operation Python,1971,Indian Navy,Karachi,Pakistan,Naval Strike,Sea,Rain,Critical,Success,0,48476.0,32.0,Yes
7,Operation Pawan,1987,Indian Army,Sri Lanka,Sri Lanka,Peacekeeping,Forest,Rain,Medium,Completed,Unknown,1222.0,52.0,Yes
8,Operation Rakshak,1990,Indian Army,Jammu & Kashmir,J&K,Counter Insurgency,Hills,Clear,High,Ongoing,0,14051.0,63.0,Yes
9,Operation Rhino,1991,Indian Army,Assam,Assam,Counter Insurgency,Forest,Fog,Medium,Success,0,4049.0,56.0,Yes
10,Operation Bajrang,1990,Indian Army,Assam,Assam,Counter Insurgency,Forest,Rain,Medium,Success,0,5719.0,52.0,Yes
11,Operation All Clear,2003,Indian Army,Bhutan Border,Bhutan,Counter Insurgency,Hills,Clear,High,Success,0,19215.0,106.0,Yes
12,Operation Black Tornado,2008,NSG,Mumbai,Maharashtra,Terror Attack,Urban,Rain,High,Success,472,18457.0,53.0,Yes
13,Operation Blue Star,1984,Indian Army,Amritsar,Punjab,Counter Terrorism,Urban,Rain,Critical,Completed,Known,34749.0,101.0,Yes
14,Operation Safed Sagar,1999,Indian Air Force,Kargil,Ladakh,Air Support,Mountain,Storm,High,Success,71,17006.0,9.0,Yes
15,Operation Bandar,2019,Indian Air Force,Balakot,Pakistan,Air Strike,Hills,Fog,High,Success,41,19627.0,78.0,Yes
16,Surgical Strike,2016,Indian Army,Line of Control,J&K,Counter Terrorism,Hills,Fog,High,Success,0,6820.0,86.0,Yes
17,Balakot Air Strike,2019,Indian Air Force,Balakot,Pakistan,Air Strike,Hills,Rain,Critical,Success,0,42140.0,81.0,Yes
18,Operation Sankat Mochan,2016,Indian Air Force,South Sudan,South Sudan,Evacuation,Urban,Clear,Medium,Success,0,1625.0,50.0,Yes
19,Operation Devi Shakti,2021,Indian Air Force,Afghanistan,Afghanistan,Evacuation,Urban,Clear,Medium,Success,Unknown,5736.0,34.0,Yes
20,Operation Dost,2023,Indian Armed Forces,Turkey,Turkey,Humanitarian Relief,Urban,Clear,Low,Success,Unknown,1469.0,256.0,Yes
21,Operation Rahat,2015,Indian Navy & Air Force,Yemen,Yemen,Evacuation,Sea,Storm,Medium,Success,Unknown,1529.0,36.0,Yes
22,Operation Ganga,2022,Indian Air Force,Ukraine,Ukraine,Evacuation,Urban,Rain,High,Success,0,2781.0,108.0,Yes
23,Operation Kaveri,2023,Indian Navy & Air Force,Sudan,Sudan,Evacuation,Desert,Extreme Heat,High,Success,0,2039.0,54.0,Yes
24,Operation Sadbhavana,1998,Indian Army,Jammu & Kashmir,J&K,Civic Action,Hills,Rain,Low,Ongoing,0,1434.0,335.0,Yes
25,Operation Parakram,2001,Indian Armed Forces,India-Pakistan Border,Border Region,Military Mobilization,Border,Rain,Critical,Completed,18,6237.0,67.0,Yes
26,Operation Maitri,2015,Indian Army,Nepal,Nepal,Disaster Relief,Mountain,Storm,Medium,Success,0,1937.0,58.0,Yes
27,Operation Vijay,1999,Indian Army,Kargil,Ladakh,Border Intrusion,Mountain,Clear,Critical,Success,152,34749.0,151.0,Yes
28,Operation Meghdoot,1984,Indian Army,Siachen Glacier,Ladakh,Border Security,Mountain,Clear,High,Ongoing,0,24518.0,2.0,Yes
